iso_639_3,source,category,hours,license_tier,license,source_type,who_transcribed,transcript_exists
aat,common_voice_spontaneous,transcribed,0.0,A,CC0-1.0,no source - spontaneous speech,human volunteer,True
aat,common_voice_spontaneous,untranscribed,2.3,A,CC0-1.0,no source - spontaneous speech,human volunteer,False
abb,common_voice_scripted,transcribed,11.24,A,CC0-1.0,website text,human volunteer,True
abk,common_voice_scripted,transcribed,242.62,A,CC0-1.0,website text,human volunteer,True
abq,common_voice_scripted,transcribed,16.23,A,CC0-1.0,website text,human volunteer,True
ady,common_voice_scripted,transcribed,94.26,A,CC0-1.0,website text,human volunteer,True
ady,common_voice_spontaneous,transcribed,4.67,A,CC0-1.0,no source - spontaneous speech,human volunteer,True
ady,common_voice_spontaneous,untranscribed,1.04,A,CC0-1.0,no source - spontaneous speech,human volunteer,False
afr,common_voice_scripted,transcribed,1.65,A,CC0-1.0,website text,human volunteer,True
ajg,common_voice_scripted,transcribed,12.87,A,CC0-1.0,website text,human volunteer,True
aln,common_voice_spontaneous,transcribed,10.49,A,CC0-1.0,no source - spontaneous speech,human volunteer,True
aln,common_voice_spontaneous,untranscribed,0.3699999999999992,A,CC0-1.0,no source - spontaneous speech,human volunteer,False
amh,common_voice_scripted,transcribed,2.92,A,CC0-1.0,website text,human volunteer,True
amh,common_voice_spontaneous,transcribed,0.0,A,CC0-1.0,no source - spontaneous speech,human volunteer,True
amh,common_voice_spontaneous,untranscribed,0.0,A,CC0-1.0,no source - spontaneous speech,human volunteer,False
ara,common_voice_scripted,transcribed,157.46,A,CC0-1.0,website text,human volunteer,True
arg,common_voice_scripted,transcribed,17.83,A,CC0-1.0,website text,human volunteer,True
arg,common_voice_spontaneous,transcribed,0.21,A,CC0-1.0,no source - spontaneous speech,human volunteer,True
arg,common_voice_spontaneous,untranscribed,1.64,A,CC0-1.0,no source - spontaneous speech,human volunteer,False
asm,common_voice_scripted,transcribed,7.68,A,CC0-1.0,website text,human volunteer,True
ast,common_voice_scripted,transcribed,2.1,A,CC0-1.0,website text,human volunteer,True
aze,common_voice_scripted,transcribed,1.56,A,CC0-1.0,website text,human volunteer,True
bag,common_voice_scripted,transcribed,11.12,A,CC0-1.0,website text,human volunteer,True
bak,common_voice_scripted,transcribed,268.71,A,CC0-1.0,website text,human volunteer,True
bak,common_voice_spontaneous,transcribed,0.01,A,CC0-1.0,no source - spontaneous speech,human volunteer,True
bak,common_voice_spontaneous,untranscribed,0.24,A,CC0-1.0,no source - spontaneous speech,human volunteer,False
bas,common_voice_scripted,transcribed,13.56,A,CC0-1.0,website text,human volunteer,True
bas,common_voice_spontaneous,transcribed,5.06,A,CC0-1.0,no source - spontaneous speech,human volunteer,True
bas,common_voice_spontaneous,untranscribed,0.3100000000000005,A,CC0-1.0,no source - spontaneous speech,human volunteer,False
bax,common_voice_scripted,transcribed,11.83,A,CC0-1.0,website text,human volunteer,True
bba,common_voice_scripted,transcribed,14.38,A,CC0-1.0,website text,human volunteer,True
bbj,common_voice_scripted,transcribed,12.75,A,CC0-1.0,website text,human volunteer,True
bbl,common_voice_scripted,transcribed,12.16,A,CC0-1.0,website text,human volunteer,True
bce,common_voice_scripted,transcribed,10.05,A,CC0-1.0,website text,human volunteer,True
bci,common_voice_scripted,transcribed,14.35,A,CC0-1.0,website text,human volunteer,True
beb,common_voice_scripted,transcribed,11.09,A,CC0-1.0,website text,human volunteer,True
bel,common_voice_scripted,transcribed,1892.71,A,CC0-1.0,website text,human volunteer,True
